connectivity_goal,size,flip_param
0.05,128,0.05
0.1,128,0.03
0.2,128,0.02
0.3,128,0.025
0.4,128,0.025
0.5,128,0.03
0.6,128,0.06
0.7,128,0.1
0.8,128,0.17
0.9,128,0.27
0.91,128,0.28
0.95,128,0.45
0.99,128,1.2
0.05,256,0.04
0.1,256,0.035
0.2,256,0.03
0.3,256,0.02
0.4,256,0.025
0.5,256,0.035
0.6,256,0.04
0.7,256,0.07
0.8,256,0.1
0.9,256,0.18
0.91,256,0.19
0.95,256,0.32
0.99,256,0.7
0.05,512,0.025
0.1,512,0.026
0.2,512,0.023
0.3,512,0.024
0.4,512,0.025
0.5,512,0.03
0.6,512,0.04
0.7,512,0.05
0.8,512,0.065
0.9,512,0.11
0.91,512,0.125
0.95,512,0.19
0.99,512,0.45
0.05,1024,0.015
0.1,1024,0.016
0.2,1024,0.012
0.3,1024,0.015
0.4,1024,0.02
0.5,1024,0.025
0.6,1024,0.027
0.7,1024,0.032
0.8,1024,0.042
0.9,1024,0.07
0.91,1024,0.075
0.95,1024,0.11
0.99,1024,0.3
0.05,2048,0.013
0.1,2048,0.013
0.2,2048,0.01
0.3,2048,0.01
0.4,2048,0.014
0.5,2048,0.015
0.6,2048,0.016
0.7,2048,0.019
0.8,2048,0.025
0.9,2048,0.04
0.91,2048,0.045
0.95,2048,0.07
0.99,2048,0.3
0.05,4096,0.012
0.1,4096,0.007
0.2,4096,0.005
0.3,4096,0.006
0.4,4096,0.008
0.5,4096,0.008
0.6,4096,0.009
0.7,4096,0.01
0.8,4096,0.014
0.9,4096,0.025
0.91,4096,0.027
0.95,4096,0.047
0.99,4096,0.2
